,addresses,zip,lat,long
384,108 Chappie James Way,78236-0122,29.386901,-98.599855
385,1703 Donaldson Ave,78228-3028,29.465335,-98.557479
386,2926 St Mary'S St N,78212-3531,29.452388,-98.485044
387,203 Cavalier Ave,78225-1605,29.390368,-98.522101
388,1605 Loop 1604 W S,78245-3199,29.416533,-98.709577
389,532 Mayfield Blvd W,78211-4339,29.361643,-98.529505
390,1722 Mariposa W,78201-2920,29.480905,-98.523435
391,903 Camino Santa Maria,78228,29.455562,-98.560065
392,8710 Hamer Ranch,,29.425173,-98.494599
393,1603 Patricia Dr,78213-1207,29.548928,-98.519211
394,1707 Cactus Blf,78258-7451,29.633495,-98.46927
395,8830 Adams Hill Dr,78227-2341,29.410474,-98.661233
396,1717 Rogers Ave,78208-1534,29.439783,-98.462044
397,202 Elks Dr,78211-2250,29.37424,-98.521747
398,9217 Powhatan Dr,78230-3911,29.522641,-98.550827
399,6075 Ih 10 E,78219,29.44359,-98.36656
400,710 Dolorosa,78207,29.424249,-98.497522
401,4100 Piedmont Ave,78223-1217,29.375611,-98.468363
402,5243 Village Crest Dr,78218-3848,29.489185,-98.383903
403,3503 Willowwood Blvd,78219-2531,29.442261,-98.429331
404,103 Sage Dr,78228-5035,29.461273,-98.555448
405,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
406,7211 Norman Ln,78240-5250,29.506875,-98.595579
407,108 Chappie James Way,78236-0122,29.386901,-98.599855
408,1600 Jackson-Keller Rd,78213-3230,29.510539,-98.519299
409,2730 Louis Bauer Dr,78235,29.341605,-98.451071
410,126 Conception Ct,78225-1703,29.389362,-98.520046
411,12503 Ranch Summit,78245-3178,29.424474,-98.74196
412,1027 Morales,78207-2315,29.431595,-98.509456
413,8730 Wurzbach Rd,78240-1159,29.523594,-98.569833
414,3800 Espada Falls,78222,29.387226,-98.380668
415,3519 Grant Ave,78201-3027,29.48132,-98.509543
416,9603 Bandera Rd,78250-5600,29.533842,-98.646565
417,5915 Fir Valley Dr,78242-1630,29.359898,-98.618152
418,700 At And T Center Pkwy,78219-3618,29.432549,-98.433881
419,6310 Cougar Village,78242-2460,29.365509,-98.621732
420,214 Betty Jean,78223-2120,29.372494,-98.461524
421,400 Belford,78223,29.364647,-98.431423
422,349 Hafer E,78214-1502,29.382177,-98.496279
423,203 Carroll Ave,78225-1429,29.392018,-98.521982
424,725 Big Foot,78225-1261,29.395119,-98.513863
425,2922 Mozart Ave,78210-5631,29.390958,-98.441689
426,11802 West Ave,78216-2532,29.548366,-98.506724
427,1403 San Francisco St,78201-4116,29.46874,-98.51746
428,3300 Hackberry St S,78210,29.38792,-98.473422
429,119 Hearne,78225-1641,29.389555,-98.522224
430,14303 Brook Hollow Blvd,78232-3805,29.577234,-98.470929
431,7235 Dewhurst Rd,78213-3437,29.500355,-98.543953
432,2200 Barefield Dr,78230,29.539204,-98.5312
433,7003 Walnut Valley Dr,78242-1529,29.359573,-98.626455
434,11780 Parliament,78213-1117,29.548398,-98.510548
435,4407 Sun Vista Ln,78217-3622,29.526891,-98.405356
436,1220 Commerce St E,78205-3308,29.421253,-98.476665
437,7409 Sidbury Cir,78250-5255,29.510593,-98.669457
438,5818 Lubbers Way,78242-2934,29.338358,-98.611062
439,1701 Cactus Blf,78258-7451,29.633495,-98.46927
440,1701 Cactus Blf,78258-7451,29.633495,-98.46927
441,202 Jennings Ave,78225-1624,29.391198,-98.522082
442,11660 Huebner Rd,78230-1316,29.549552,-98.573707
443,110 Quill Dr W,78228-4011,29.466536,-98.568188
444,9360 Ih 10 W Access Rd,,29.425173,-98.494599
445,11215 Whisper Meadow,78230-3547,29.543812,-98.543514
446,7707 Lost Creek Gap,78247-1325,29.592764,-98.370803
447,4000 Rittiman Rd,78218-4354,29.484853,-98.414791
448,3926 Highcliff Dr,78218-2424,29.510768,-98.416844
449,211 Hermitage Ct,78223-2039,29.371972,-98.470768
450,111 Yolanda,78228-5860,29.442273,-98.578782
451,2627 Culebra Rd,78228-6357,29.447621,-98.550354
452,2303 Woodlawn Ave W,78201-5367,29.45516,-98.537822
453,6606 Swiss Oaks,78227-1268,29.421541,-98.61933
454,1006 Holbrook,78218-3325,29.488053,-98.417965
455,100 Chappie James Way,78236-0122,29.387205,-98.599873
456,2023 Chaffin Way,78260-2171,29.7273,-98.45746
457,9307 Broadway,78215,29.44005,-98.477843
458,3111 Zarzamora St N,78201-5002,29.460464,-98.523054
459,6500 Bandera Rd,78238-1440,29.491068,-98.613027
460,4000 Rittiman Rd,78218-4354,29.484853,-98.414791
461,100 Chappie James Way,78236-0122,29.387205,-98.599873
462,4414 Clear Spg,78217-3626,29.529361,-98.405094
463,206 Ashland Dr,78218-1807,29.505018,-98.408872
464,13002 Salt Fork,,29.425173,-98.494599
465,1111 Rousseau,78245,29.423606,-98.703985
466,2606 Circle Tree,78247-3816,29.567187,-98.448934
467,25545 Two Spgs,78255-4412,29.683675,-98.644927
468,15266 Oak Spg,78232-4242,29.580038,-98.448818
469,1916 Austin Hwy,78218-2501,29.500009,-98.4213
470,859 Rockwell Blvd,78224-2708,29.328068,-98.523247
471,8914 Presa St S,78223-4741,29.333714,-98.450291
472,2359 Waverly Ave,78228-5513,29.449484,-98.55137
473,4411 Thousand Oaks Dr,78233-6801,29.550079,-98.406629
474,5054 Ayrshire,78217-6436,29.574354,-98.389673
